Sample Name,Study Assay Measurement,Study Assay Technology Type,Study Assay Technology Platform,organism,Source Name,Label,Array Data File Name,Array Data File Path,Comment[Array Data File Name],Hybridization Assay Name,Factor Value[Genotype],Factor Value[Ionizing Radiation],Factor Value[Treatment],Original Sample Name
GSM1848842,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ rapamycin [US84903607_252800514810_S01_GE1_1100_Jul11_1_1],Cy3 dye,GLDS-432_microarray_GSM1848842_US84903607_252800514810_S01_GE1_1100_Jul11_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848842_US84903607_252800514810_S01_GE1_1100_Jul11_1_1.txt.gz,GLDS-432_microarray_GSM1848842_US84903607_252800514810_S01_GE1_1100_Jul11_1_1.txt.gz,GSM1848842,p53+/-Fbxw7+/+,x-ray radiation week,rapamycin,GSM1848842
GSM1848843,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514810_S01_GE1_1100_Jul11_1_2],Cy3 dye,GLDS-432_microarray_GSM1848843_US84903607_252800514810_S01_GE1_1100_Jul11_1_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848843_US84903607_252800514810_S01_GE1_1100_Jul11_1_2.txt.gz,GLDS-432_microarray_GSM1848843_US84903607_252800514810_S01_GE1_1100_Jul11_1_2.txt.gz,GSM1848843,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848843
GSM1848844,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514810_S01_GE1_1100_Jul11_1_3],Cy3 dye,GLDS-432_microarray_GSM1848844_US84903607_252800514810_S01_GE1_1100_Jul11_1_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848844_US84903607_252800514810_S01_GE1_1100_Jul11_1_3.txt.gz,GLDS-432_microarray_GSM1848844_US84903607_252800514810_S01_GE1_1100_Jul11_1_3.txt.gz,GSM1848844,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848844
GSM1848845,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- rapamycin [US84903607_252800514810_S01_GE1_1100_Jul11_1_4],Cy3 dye,GLDS-432_microarray_GSM1848845_US84903607_252800514810_S01_GE1_1100_Jul11_1_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848845_US84903607_252800514810_S01_GE1_1100_Jul11_1_4.txt.gz,GLDS-432_microarray_GSM1848845_US84903607_252800514810_S01_GE1_1100_Jul11_1_4.txt.gz,GSM1848845,p53+/-Fbxw7+/-,x-ray radiation week,rapamycin,GSM1848845
GSM1848846,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514810_S01_GE1_1100_Jul11_2_1],Cy3 dye,GLDS-432_microarray_GSM1848846_US84903607_252800514810_S01_GE1_1100_Jul11_2_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848846_US84903607_252800514810_S01_GE1_1100_Jul11_2_1.txt.gz,GLDS-432_microarray_GSM1848846_US84903607_252800514810_S01_GE1_1100_Jul11_2_1.txt.gz,GSM1848846,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848846
GSM1848847,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514810_S01_GE1_1100_Jul11_2_2],Cy3 dye,GLDS-432_microarray_GSM1848847_US84903607_252800514810_S01_GE1_1100_Jul11_2_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848847_US84903607_252800514810_S01_GE1_1100_Jul11_2_2.txt.gz,GLDS-432_microarray_GSM1848847_US84903607_252800514810_S01_GE1_1100_Jul11_2_2.txt.gz,GSM1848847,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848847
GSM1848848,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ placebo [US84903607_252800514810_S01_GE1_1100_Jul11_2_3],Cy3 dye,GLDS-432_microarray_GSM1848848_US84903607_252800514810_S01_GE1_1100_Jul11_2_3.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848848_US84903607_252800514810_S01_GE1_1100_Jul11_2_3.txt.gz,GLDS-432_microarray_GSM1848848_US84903607_252800514810_S01_GE1_1100_Jul11_2_3.txt.gz,GSM1848848,p53+/-Fbxw7+/+,x-ray radiation week,placebo,GSM1848848
GSM1848849,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514810_S01_GE1_1100_Jul11_2_4],Cy3 dye,GLDS-432_microarray_GSM1848849_US84903607_252800514810_S01_GE1_1100_Jul11_2_4.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848849_US84903607_252800514810_S01_GE1_1100_Jul11_2_4.txt.gz,GLDS-432_microarray_GSM1848849_US84903607_252800514810_S01_GE1_1100_Jul11_2_4.txt.gz,GSM1848849,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848849
GSM1848850,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/+ placebo [US84903607_252800514819_S01_GE1_1100_Jul11_1_1],Cy3 dye,GLDS-432_microarray_GSM1848850_US84903607_252800514819_S01_GE1_1100_Jul11_1_1.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848850_US84903607_252800514819_S01_GE1_1100_Jul11_1_1.txt.gz,GLDS-432_microarray_GSM1848850_US84903607_252800514819_S01_GE1_1100_Jul11_1_1.txt.gz,GSM1848850,p53+/-Fbxw7+/+,x-ray radiation week,placebo,GSM1848850
GSM1848851,transcription profiling,DNA microarray,Agilent,Mus musculus,p53+/-Fbxw7+/- placebo [US84903607_252800514819_S01_GE1_1100_Jul11_1_2],Cy3 dye,GLDS-432_microarray_GSM1848851_US84903607_252800514819_S01_GE1_1100_Jul11_1_2.txt.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-432/download?source=datamanager&file=GLDS-432_microarray_GSM1848851_US84903607_252800514819_S01_GE1_1100_Jul11_1_2.txt.gz,GLDS-432_microarray_GSM1848851_US84903607_252800514819_S01_GE1_1100_Jul11_1_2.txt.gz,GSM1848851,p53+/-Fbxw7+/-,x-ray radiation week,placebo,GSM1848851
