sample,condition
Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep1_B2,RR3_BSL_wERCC
Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep2_B4,RR3_BSL_wERCC
Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep3_B6,RR3_BSL_wERCC
Mmus_BAL-TAL_LVR_RR3_BSL_wERCC_Rep4_B7,RR3_BSL_wERCC
Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1,RR3_FLT_wERCC
Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2,RR3_FLT_wERCC
Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3,RR3_FLT_wERCC
Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4,RR3_FLT_wERCC
Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1,RR3_GC_wERCC
Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2,RR3_GC_wERCC
Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3,RR3_GC_wERCC
Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5,RR3_GC_wERCC
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep1_M4,RR1_BSL_noERCC
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep2_M5,RR1_BSL_noERCC
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep3_M7,RR1_BSL_noERCC
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep4_M8,RR1_BSL_noERCC
Mmus_C57-6J_LVR_RR1_BSL_noERCC_Rep5_M10,RR1_BSL_noERCC
Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep1_M4,RR1_BSL_wERCC
Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep2_M5,RR1_BSL_wERCC
Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep3_M7,RR1_BSL_wERCC
Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep4_M8,RR1_BSL_wERCC
Mmus_C57-6J_LVR_RR1_BSL_wERCC_Rep5_M10,RR1_BSL_wERCC
Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25,RR1_FLT_noERCC
Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26,RR1_FLT_noERCC
Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28,RR1_FLT_noERCC
Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29,RR1_FLT_noERCC
Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30,RR1_FLT_noERCC
Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep1_M25,RR1_FLT_wERCC
Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep2_M26,RR1_FLT_wERCC
Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep3_M28,RR1_FLT_wERCC
Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep4_M29,RR1_FLT_wERCC
Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep5_M30,RR1_FLT_wERCC
Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36,RR1_GC_noERCC
Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37,RR1_GC_noERCC
Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38,RR1_GC_noERCC
Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39,RR1_GC_noERCC
Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40,RR1_GC_noERCC
Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep1_M36,RR1_GC_wERCC
Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep2_M37,RR1_GC_wERCC
Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep3_M38,RR1_GC_wERCC
Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep4_M39,RR1_GC_wERCC
Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep5_M40,RR1_GC_wERCC
Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep1_M16,RR1_VIV_noERCC
Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep2_M17,RR1_VIV_noERCC
Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep3_M18,RR1_VIV_noERCC
Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep4_M19,RR1_VIV_noERCC
Mmus_C57-6J_LVR_RR1_VIV_noERCC_Rep5_M20,RR1_VIV_noERCC
Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep1_M16,RR1_VIV_wERCC
Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep2_M17,RR1_VIV_wERCC
Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep3_M18,RR1_VIV_wERCC
Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep4_M19,RR1_VIV_wERCC
Mmus_C57-6J_LVR_RR1_VIV_wERCC_Rep5_M20,RR1_VIV_wERCC
