speciesType,tissueType,cellName,geneSymbol
Mouse,Liver,Liver progenitor cell,"Ascl2,  Krt19,  Dlk1,  Epcam"
Mouse,Liver,Ito cell (hepatic stellate cell),"Syp, Stx2, Acta2,  Des, Igfbp3, Des,  Gfap"
Mouse,Liver,Liver stem cell,"Eng,  Itgb1,  Cd44,  Epcam,  Gata4"
Mouse,Liver,Myofibroblast,"Nt5e, Acta2,  Myh11,  Tagln,  Des,  Fn1,  Col1a1,  Jun,  Aspn,  Hhip,  Junb,  Mustn1,  Scx"
Mouse,Liver,B cell,"Ptprc, Spn,  Ptprc,  Cd40lg, Cd19,  Cd79a,  Cd19,  Cd5,  Adgre1, Gstm1, Fasn, Cd22,  Spn, Ms4a1, Cd5,  Cd24a, Kit, Bcr,  Enpep,  Ccr10,  Itgae,  Kit,  Ifngr1,  Itgam,  Il2rb,  Il6ra,  Il7r,  Sdc1,  Fcgr3,  Cxcr4,  Cxcr5,  Cd1d1,  Ms4a1,  Cr2,  Cd22,  Fcer2a,  Il2ra,  Cd27,  Pdcd1lg2,  Pecam1,  Bst2,  Slamf7,  Cdh1,  Cd320,  Cd34,  Tnfrsf18,  Cd38,  Entpd1,  Cd40,  Cd44,  Itga2,  Sell,  Nt5e,  Cd80,  Cd84,  Cd86,  Cd9,  Cd93,  Flt3,  IgD family,  Il1r1,  Il1r2,  MHC Class II,  NA,  Ly6a, Cd180,  Tnfsf4,  Cd36,  Cd69,  Cd81, Cd79a,  Cd79b,  Ly6d,  Mzb1, Cd69,  Cxcl10,  Ifi47,  Ifit1,  Ifit2,  Ifit3,  Igtp,  Irf7,  Irgm1,  Isg15,  Isg20,  Mx1,  Oasl1,  Parp14,  Rgs1,  Rsad2,  Usp18, 4930523C07Rik,  Bank1,  Blnk,  Btla,  Cd37,  Ckap4,  Cmah,  Creld2,  Derl3,  Dnajc3,  Eaf2,  Ebf1,  Edem1,  Edem2,  Fam46c,  Fchsd2,  Fcmr,  Fcrla,  Fkbp11,  Gm8369,  H13,  H2-DMb2,  H2-Oa,  H2-Ob,  Hsp90b1,  Hspa5,  Hvcn1,  Jchain,  Krtcap2,  Manf,  Mef2c,  Pafah1b3,  Pax5,  Pold4,  Pou2af1,  Prdx4,  Ptp4a3,  Ralgps2,  Rexo2,  Scd1,  Sdf2l1,  Sec11c,  Sec61a1,  Sec61b,  Serp1,  Siglecg,  Slpi,  Smap2,  Snx2,  Spcs3,  Spib,  Srp9,  Ssr4,  Tnfrsf13b,  Tnfrsf13c,  Tnfrsf17,  Trp53inp1,  Txndc11,  Txndc5,  Vpreb3,  Xbp1, Fcrla,  Vpreb1, Cd79b"
Mouse,Liver,Cancer stem cell,"Pou5f1, Lgr6, Prom1,  Myc,  Klf4,  Pou5f1,  Sox2, Kit,  Ly6a, Alcam, Itga6,  Itgb3, Aldh1a1,  Pecam1,  Cd44,  Egfr,  Mki67, Cd44,  Dclk1, Dclk1, Nanog,  Prom1,  Fut4,  Cd24a,  Lgr5, Ly6a, Myc,  Nanog, Abcg2, Cd24a,  Itgb1,  Itga6, Cd34,  Cd38,  Cd47,  Ptprc,  Dll1,  Dner,  Flot2,  Thy1,  Alcam,  Epcam, Anpep,  Cxcr4,  Cd24,  Cd34, Abcb5,  Abcg2,  Ms4a1,  Ngfr"
Mouse,Liver,Dendritic cell,"Itgax,  Cd74,  Cd83,  Cd86,  Cd80,  Tlr9, Ccr7,  Itgax,  Cd40,  MHC class II, Cd80, Cd83, Itgam,  Cd19,  Cd3d,  Cd3e,  Cd3g,  Ly6g,  Klrb1c, MHC class II,  Cd24a,  Ptprc,  Siglecf,  Xcr1, Nectin2, Cd209a,  Flt3,  H2-Eb1,  Cd14,  Fcgr3, Cd74,  Cebpa,  Chd3,  Elf1,  Etv6,  Foxp1,  Id2,  Irf8,  Nfe2,  Spi1,  Sox4,  Stat3, Basp1,  Ccl5,  Fscn1,  S100a4,  Tcf7, Ccl22,  Ccr7,  Cst3,  H2-Ab1,  Ifit1, Batf3,  Ifi205,  Mycl,  Slamf7,  H2-Aa"
Mouse,Liver,Endothelial cell,"Eng,  Itgam,  Pecam1,  Ptprc,  Flt1,  Kdr, Pecam1, Rgs5, Ednrb,  Egfl7,  Emcn,  Epas1,  Fabp4,  Tie1, Egfl7, Cd34,  Eng,  Tek,  Cdh5, Nos3,  Plvap, Cdh5, Kdr, Fcgr2b,  Lyve1, Icam2,  Vcam1,  Ifngr1,  Il3ra,  Anpep,  Cxcr2,  Tlr2,  Cd34,  Cd44,  Itga2,  Icam1,  Sell,  Sele,  Selp,  Cd93,  Ly6c1,  MHC class II,  Pdpn,  Flt4,  Mcam,  Itgb3, 2810025M15Rik,  4931406P16Rik,  Jcad,  Ablim1,  NA,  Ace,  Acvrl1,  Adam15,  Agfg1,  Ahr,  Ankrd37,  Aplnr,  Arap2,  Arap3,  Arhgap18,  Arhgap31,  Arhgef15,  BC028528,  Bcl6b,  Calcrl,  Casz1,  Cav1,  Cav2,  Cd200,  Cd36,  Adgre5,  Cldn5,  Clec14a,  Clec1a,  Clec9a,  Cobll1,  Col4a1,  Copg2,  Cpne8,  Crip2,  Ctla2a,  Rtl8a,  Rtl8b,  Dpysl3,  Ecscr,  Edil3,  Efna1,  Elk3,  Ephb4,  Esam,  Ets1,  F11r,  Fam198b,  Fgd5,  Fkbp1a,  Fli1,  Fxyd5,  Gap43,  Gata2,  Gchfr,  Gimap1,  Gimap4,  Gimap5,  Gimap6,  Gmfg,  Gpihbp1,  Adgrf5,  Grap,  Guk1,  Hey1,  Ica1,  Icam2,  Il2rg,  Itga6,  Jup,  Kctd12b,  Kit,  Klhl4,  Ldb2,  Lmo2,  Luzp1,  Lxn,  Ly6e,  Mest,  Mfng,  Mid2,  Afdn,  Mmrn2,  Myct1,  Myzap,  Nos3,  Nostrin,  Npdc1,  Nup210,  Pcdh12,  Pcdh17,  Pde4b,  Piezo2,  Plekha1,  Ppm1f,  Ppp1r16b,  Prkch,  Ptprb,  Ptprm,  Cavin1,  Ramp2,  Rasgrp3,  Rasip1,  Rgcc,  Rhoj,  Rnf122,  S100a10,  S100a16,  Scarb1,  Scarf1,  Scn3b,  Scn7a,  Sgk1,  Slc43a3,  Slc9a3r2,  Smad1,  Smtn,  Snrk,  Srgn,  Stab2,  Stard4,  Thsd1,  Tjp1,  Tm4sf1,  Tmem2,  Tmem88,  Tnfaip8l1,  Trp53i11,  Tspan13,  Txnip,  Vim,  Clic5,  Cyyr1,  Edn1,  Tspan7, Acta2,  Actg2,  Igfbp7,  Myl9,  Sparcl1,  Tagln, Aplnr,  Aqp1,  Fbln2,  Pitp family,  Cavin2,  Sox17,  Vwf,  Fn1, Lyve1,  Sox18, Abcb1a,  Apcdd1,  Ccdc141,  Cgnl1,  Adgrl4,  Erg,  Fzd6,  Hmcn1,  Hspg2,  Lmntd1,  Itga1,  Itga4,  Lama4,  Ly75,  Mecom,  Mfsd2a,  Rassf9,  Rbpms,  Rgs5,  Slc16a1,  Slc22a8,  Slc40a1,  Slc7a1,  Slc7a5,  Slco1a4,  Slco1c1,  Slco2b1,  Sparc,  St3gal6,  Wwtr1,  Zfp366, Bmp2,  C1qtnf1,  Dpp4,  F8,  Il1a,  Myf6,  Oit3,  Ushbp1"
Mouse,Liver,Hepatocyte,"Krt18, Afp, Albumin family,  Afp,  NA, Acly,  Alb,  Apoa1,  Asl,  Ass1,  Cyp2e1,  Cyp2f2,  G6pc,  Glul,  Mup3,  Pck1"
Mouse,Liver,Kupffer cell,"Cd68,  Clec4f,  Adgre1, Clec4f,  Irf7,  Spic"
