speciesType,tissueType,cellName,geneSymbol
Mouse,Spleen,Lymphocyte (All markers),"Cd19,  Cd3d,  Cd3e,  Cd3g,  Ncam1, Cd2,  Cd8a,  Klrb1c, Cd3d,  Cd79a,  Cd8b1,  Nkg7, Cd37,  Cd3g,  Cd52,  Coro1a,  Cxcr6,  Gmfg,  Klk8,  Lat,  Lgals3,  Lsp1,  Pim1,  Ptprcap,  Rgcc,  Rgs1,  Srgn, Ccl5, Ccr7,  Ccr9,  Dntt,  Flt3,  Igll1,  Lck,  Lef1,  Mzb1,  Vpreb1,  Vpreb3"
Mouse,Spleen,T cell (All markers),"Cd3d,  Cd3e,  Cd3g, Cd4, Cd8a,  Cd8a,  NA, Cd2,  Cd4,  Cd5, Sell, Gstm1, Thy1,  Thy1, Cd44,  Sell,  Cd69,  Pdcd1, Ccr10,  Itgae,  Kit,  Ifngr1,  Itgax,  Il2rb,  Il6ra,  Il7r,  Pdgfra,  Pdgfrb,  Slamf1,  Cd40lg,  Cd160,  Klrb1b,  Klrb1c,  Fasl,  Cxcr3,  Cxcr4,  Cxcr5,  Ccr3,  Ccr4,  Ccr5,  Ccr6,  Cd1d1,  Cd2,  Cd200,  Il12rb1,  Il18r1,  Cd24a,  Il2ra,  Ptgdr2,  Cd3d,  Pecam1,  Cd34,  Cr2,  Tnfrsf18,  Cd38,  Entpd1,  Cd40,  Spn,  Cd44,  Ptprc,  Itga2,  Itgav,  B3gat1,  Itgb3,  TFRC,  Nt5e,  Cd80,  Cd84,  Plaur,  Klrd1,  Cd96,  Ccr8,  Cx3cr1,  Flt3,  Foxp3,  Il1r1,  Il1r2,  Il1r1,  Il1r2,  Il21r,  Il9,  Zbtb16,  Rorc,  Ly6a, Cd3e, Bcl11b,  Cxcr6,  Fam189b,  Gimap3,  Itk,  Lef1,  Ltb,  Rapgef6,  Rasgrp1,  Rpl12,  Rplp1,  Rps16,  Rps23,  Rps4x,  Satb1,  Socs2,  Tpt1"
Mouse,Spleen,Follicular helper T (Tfh) cell subtype,"Nt5e,  Izumo1r"
Mouse,Spleen,Regulatory T (Treg) cell subtype,"Itga2,  Lag3, Il2ra,  Cd4,  Itga2, Nrp1,  Foxp3,  Cd3d,  Cd3e,  Cd3g,  Entpd1,  Ptprc,  Nt5e,  Ikzf2,  Il10,  Il12a,  Ebi3,  Mki67,  TGF-beta family, Cd101,  Il1r1,  Il1r2,  Tnfrsf9,  Ctla4,  Il2ra,  Nrp1,  Tnfrsf18,  Rel,  Ikzf4,  Izumo1r,  Lrrc32,  NA,  Stat5a,  Stat5b,  Tigit, Izumo1r,  Tcf7,  Trbc2"
Mouse ,Spleen ,Helper T (Th1) cell subtype,"Cd3d,  Cd3e,  Cd3g,  Cd4,  Ptprc"
Mouse,Spleen,Helper T (Th2) cell subtype,"Il1rl1, Batf,  Cxcr4,  Ccr4,  NA,  Ptgdr2,  Havcr1,  Gata3,  Mydgf,  Il1rl1,  Irf4,  Stat6"
Mouse,Spleen,Cytotoxic T  cell,"Cd3d,  Cd3e,  Cd3g,  Ptprc,  Cd8a"
Mouse,Spleen,Marginal zone B cell,"Cr2,  Fcer2a,  IgD family,  Cd40lg, Cd1d1,  Cr2,  Cd22,  Ptprc,  Cd9,  NA,  Pax5"
Mouse,Spleen,T1 (Transitional) B cell,"Cr2,  Fcer2a,  Cd40lg"
Mouse,Spleen,T2 (Transitional) B cell,"Cd21, Baffr, Has"
Mouse,Spleen,B cell (immature markers noted*),"Ptprc, Spn,  Ptprc,  Cd40lg, Cd19,  Cd79a,  Cd19,  Cd5,  Adgre1, Gstm1, Fasn, Cd22,  Spn, Ms4a1, Cd5,  Cd24a, Kit, Bcr,  Enpep,  Ccr10,  Itgae,  Kit,  Ifngr1,  Itgam,  Il2rb,  Il6ra,  Il7r,  Sdc1,  Fcgr3,  Cxcr4,  Cxcr5,  Cd1d1,  Ms4a1,  Cr2,  Cd22,  Fcer2a,  Il2ra,  Cd27,  Pdcd1lg2,  Pecam1,  Bst2,  Slamf7,  Cdh1,  Cd320,  Cd34,  Tnfrsf18,  Cd38,  Entpd1,  Cd40,  Cd44,  Itga2,  Sell,  Nt5e,  Cd80,  Cd84,  Cd86,  Cd9,  Cd93,  Flt3,  IgD family,  Il1r1,  Il1r2,  MHC Class II,  NA,  Ly6a, Cd180,  Tnfsf4,  Cd36,  Cd69,  Cd81, Cd79a,  Cd79b,  Ly6d,  Mzb1, Cd69,  Cxcl10,  Ifi47,  Ifit1,  Ifit2,  Ifit3,  Igtp,  Irf7,  Irgm1,  Isg15,  Isg20,  Mx1,  Oasl1,  Parp14,  Rgs1,  Rsad2,  Usp18, 4930523C07Rik,  Bank1,  Blnk,  Btla,  Cd37,  Ckap4,  Cmah,  Creld2,  Derl3,  Dnajc3,  Eaf2,  Ebf1,  Edem1,  Edem2,  Fam46c,  Fchsd2,  Fcmr,  Fcrla,  Fkbp11,  Gm8369,  H13,  H2-DMb2,  H2-Oa,  H2-Ob,  Hsp90b1,  Hspa5,  Hvcn1,  Jchain,  Krtcap2,  Manf,  Mef2c,  Pafah1b3,  Pax5,  Pold4,  Pou2af1,  Prdx4,  Ptp4a3,  Ralgps2,  Rexo2,  Scd1,  Sdf2l1,  Sec11c,  Sec61a1,  Sec61b,  Serp1,  Siglecg,  Slpi,  Smap2,  Snx2,  Spcs3,  Spib,  Srp9,  Ssr4,  Tnfrsf13b,  Tnfrsf13c,  Tnfrsf17,  Trp53inp1,  Txndc11,  Txndc5,  Vpreb3,  Xbp1, Fcrla,  Vpreb1, Cd79b"
